,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Tmem235,7.02527317,-6.188178533,1.703108824,-3.633460437,0.000279645,0.001335435
Myct1,25.9029492,-6.147306028,1.209011836,-5.084570591,3.68E-07,3.19E-06
Pcdh12,152.7977247,-6.10872545,0.579149301,-10.5477559,5.20E-26,4.33E-24
Gimap1,31.53632482,-6.078316064,1.088178881,-5.58576919,2.33E-08,2.42E-07
Kcne1,20.96080542,-6.06799381,1.261428358,-4.810414933,1.51E-06,1.17E-05
Gimap6,102.1371381,-6.042455235,0.650781182,-9.284926175,1.62E-20,7.20E-19
Apold1,399.820413,-6.02415667,0.437074003,-13.78292151,3.23E-43,1.11E-40
Vwf,936.4509997,-5.994375302,0.448981216,-13.35106034,1.17E-40,3.62E-38
Mir1938,13.61978766,-5.981168491,1.361636756,-4.392631489,1.12E-05,7.35E-05
Aplnr,500.4299662,-5.953999605,1.40321544,-4.243111525,2.20E-05,0.000136658
Slc2a5,19.06785542,-5.939330275,1.278247877,-4.64646207,3.38E-06,2.46E-05
Hist1h2af,10.58407312,-5.928706657,1.53760348,-3.855809859,0.000115347,0.000605956
Grid2ip,1009.446219,-5.920768636,0.391918413,-15.10714589,1.45E-51,8.50E-49
Gimap5,19.18252716,-5.90568544,1.259962639,-4.68719092,2.77E-06,2.05E-05
AC134546.1,7.115612819,-5.891267187,1.719455384,-3.426240217,0.000611999,0.002704364
Duxbl1,10.53745693,-5.844552408,1.530480953,-3.81876847,0.00013412,0.0006926
Hist1h2ag,16.52625591,-5.789392018,1.355898599,-4.269782433,1.96E-05,0.00012284
