"","X.1","X","res.rownames","log_mean_counts","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","logpadj","significant","change","SYMBOL","annotation"
"4099",4099,15094,"peak15094","2.013468428",103.1498089,0.555194431,0.232429567,2.388656652,0.016910097,0.02926769,1.533611551,"Sig","Unchanged","Arhgap27","Promoter"
"4110",4110,15143,"peak15143","2.460965889",289.0452845,-0.534042483,0.196668853,-2.715440067,0.006618776,0.012528451,1.902102605,"Sig","Unchanged","Crhr1","Promoter"
"4111",4111,15144,"peak15144","3.229822094",1697.548121,1.272012789,0.183438315,6.934280797,4.08e-12,2.2e-11,10.6584938,"Sig","Unchanged","Crhr1","Promoter"
"4129",4129,15229,"peak15229","2.656675949",453.6030325,-1.149279433,0.187512973,-6.129066248,8.84e-10,3.97e-09,8.401285976,"Sig","Unchanged","Tanc2","Promoter"
"4256",4256,15806,"peak15806","3.444962435",2785.880191,3.710568809,0.124670195,29.76307868,1.17e-194,4.38e-191,190.3583081,"Sig","Up","Grin2c","Promoter"
"4397",4397,16138,"peak16138","2.55334718",357.5585601,-0.031676793,0.178784857,-0.177178275,0.85936836,0.887640577,0.051762853,"Not Sig","Unchanged","Timp2","Promoter"
"4431",4431,16284,"peak16284","3.281391915",1911.577523,2.420589348,0.150741699,16.05786169,5.04e-58,2.11e-56,55.67527187,"Sig","Up","Nptx1","Promoter"
"4835",4835,18205,"peak18205","2.912095476",816.7619101,1.207016655,0.131527976,9.176881564,4.44e-20,3.94e-19,18.40480628,"Sig","Unchanged","Dact1","Promoter"
"5008",5008,18965,"peak18965","2.884349693",766.2133122,0.924837062,0.364975486,2.533970357,0.011277827,0.020308889,1.692313832,"Sig","Unchanged","D030025P21Rik","Promoter"
"5045",5045,19110,"peak19110","3.468464091",2940.790531,0.56184601,0.138232128,4.064511032,4.81e-05,0.000131209,3.882036842,"Sig","Unchanged","Irf2bpl","Promoter"
"5047",5047,19126,"peak19126","2.748264812",560.0990194,-0.374880311,0.450841163,-0.83151305,0.405683859,0.477010021,0.321472497,"Not Sig","Unchanged","Zdhhc22","Promoter"
"5175",5175,19798,"peak19798","3.051134109",1124.952304,1.13157917,0.178628902,6.334804488,2.38e-10,1.12e-09,8.951556486,"Sig","Unchanged","Tunar","Promoter"
"5683",5683,22033,"peak22033","2.964604293",921.7312089,1.594990253,0.13817815,11.54299906,8.01e-31,1.2e-29,28.9202591,"Sig","Unchanged","Unc5a","Promoter"
