"","p14_1","p14_2","p14_3","p60_1","p60_2","p60_3","p7_1","p7_2","p7_3","Gene"
"AC127690.2",3.94681959180372,3.94681959180372,4.45307066566371,4.50514889364436,4.77976856806867,4.29878195671709,4.30797798885145,4.4740014290903,4.73210749613293,"AC127690.2"
"AC127693.1",5.30511617953692,4.99492132697532,5.33222324248975,5.04383898986576,5.05265330721615,5.3072008708536,5.11555484286124,4.77365013334238,5.16714679173093,"AC127693.1"
"AC129179.2",4.2982061523158,4.26915876137029,4.30570654161492,4.62854551761038,3.94681959180372,3.94681959180372,4.6636280876042,4.4740014290903,4.34308198590873,"AC129179.2"
"AC129188.1",4.7250186872057,5.03945766442871,4.8150177324411,4.97593095163481,5.10949603477481,4.29878195671709,5.77251569230204,4.98454309832297,5.32684084981997,"AC129188.1"
"AC129773.1",4.44254217144345,4.26915876137029,3.94681959180372,3.94681959180372,3.94681959180372,3.94681959180372,4.30797798885145,4.77365013334238,4.50548537441962,"AC129773.1"
"AC130204.1",4.64451239691233,4.58756062908026,4.30570654161492,4.82166923979832,4.77976856806867,5.087128098259,5.00897456605197,4.98454309832297,4.50548537441962,"AC130204.1"
"AC130718.2",6.53338736223656,6.31558374211655,6.40301990723076,6.01294934869578,6.67961250452202,6.27770650931441,6.38132425169926,6.24002663861467,6.80525763685115,"AC130718.2"
"AC131065.2",8.78545206248071,8.71649265345643,9.01587087277434,9.05217408933134,8.83710637891953,8.84885805099333,8.95329670978144,8.76231400960626,9.01841526900689,"AC131065.2"
"AC131185.1",3.94681959180372,3.94681959180372,3.94681959180372,4.34284185378424,4.47796538215946,4.55346984993606,4.74623803316136,4.4740014290903,4.50548537441962,"AC131185.1"
"AC131185.2",4.2982061523158,4.26915876137029,3.94681959180372,4.73164010522718,4.77976856806867,3.94681959180372,3.94681959180372,4.32062439631151,4.34308198590873,"AC131185.2"
"AC131323.2",4.79729798369832,4.78939785464179,4.74130856299635,5.1664440179768,4.99210659779452,5.26681991231849,4.30797798885145,3.94681959180372,4.73210749613293,"AC131323.2"
"AC131675.3",3.94681959180372,4.26915876137029,4.30570654161492,3.94681959180372,4.59553872099476,4.44335055821301,4.56916238365795,4.32062439631151,4.62895390602379,"AC131675.3"
"AC131692.1",3.94681959180372,4.66175414106674,3.94681959180372,3.94681959180372,3.94681959180372,3.94681959180372,5.41845159029129,5.04469038380761,5.16714679173093,"AC131692.1"
"AC131712.1",5.03478601889008,5.36877742123738,5.44673706065815,6.0671986009708,5.62258834740449,5.52230525215835,5.06378069934473,5.15449033471646,5.27628915649811,"AC131712.1"
"AC131756.1",5.78186726508106,6.00552659727707,6.14241577818229,6.24106449980254,6.6173461355845,5.97824951344063,5.80006125942231,5.57655654371443,5.70119232847481,"AC131756.1"
"AC132091.1",4.7250186872057,4.7284351313303,4.8150177324411,5.10709643209479,4.69384908674737,4.72626994137703,4.45625851106335,4.68833319517471,4.34308198590873,"AC132091.1"
"AC132106.1",3.94681959180372,4.26915876137029,4.56528737666322,3.94681959180372,3.94681959180372,3.94681959180372,3.94681959180372,4.68833319517471,4.50548537441962,"AC132106.1"
"AC132253.4",5.26478914581098,5.36877742123738,5.40987294261556,5.27553129475972,4.8568339971039,4.55346984993606,5.06378069934473,4.92002524512407,5.32684084981997,"AC132253.4"
"AC132253.6",6.12351957082833,6.61452337370493,5.9664710125285,5.98494365077756,5.95136737991007,5.73100530876144,7.6967771139705,7.39135350868692,7.19267954460185,"AC132253.6"
"AC132253.9",4.55248688125715,4.66175414106674,4.45307066566371,4.34284185378424,3.94681959180372,3.94681959180372,4.56916238365795,4.4740014290903,4.34308198590873,"AC132253.9"
"AC132288.2",5.48688590545995,6.00552659727707,5.29119760423459,7.01754826972316,7.2056527894862,6.7793381620963,5.29917629650479,6.01439087686892,5.95737197372743,"AC132288.2"
"AC132307.1",8.03633952804777,8.08706235326097,7.20173062543225,7.11941824305628,7.25693229564024,7.08841672637174,7.83890285324132,7.85011076804892,7.99922865618652,"AC132307.1"
"AC132307.3",6.30974745237168,6.73726156010332,6.73201388599998,7.04371670557547,7.14155193988778,6.98569681849666,6.57560392413624,6.601452079926,6.41656587834131,"AC132307.3"
"AC132307.5",9.24526495041069,9.3245440603478,9.43736963377253,8.66807797892222,9.64768834413251,8.94928776967106,9.8522587659681,9.71869469026932,10.1270095722998,"AC132307.5"
"AC132351.1",4.64451239691233,4.94805273773266,4.65918668651895,4.82166923979832,4.69384908674737,4.86477231022008,4.82037893055,4.85018350304565,4.62895390602379,"AC132351.1"
"AC132353.1",4.9812832044218,4.99492132697532,5.00254499174167,4.34284185378424,5.05265330721615,4.92589336506064,5.16469335417473,5.04469038380761,5.10776852115503,"AC132353.1"
"AC132353.2",3.94681959180372,4.26915876137029,4.45307066566371,3.94681959180372,4.59553872099476,3.94681959180372,4.30797798885145,4.59072332715974,3.94681959180372,"AC132353.2"
"AC132452.1",5.08534501197736,4.89850070263331,4.74130856299635,4.82166923979832,5.2625661897731,4.72626994137703,5.06378069934473,5.29931068946088,5.58936028822629,"AC132452.1"
"AC132452.2",4.55248688125715,4.50284177895054,3.94681959180372,3.94681959180372,4.32345067233676,3.94681959180372,4.56916238365795,4.4740014290903,3.94681959180372,"AC132452.2"
"AC132452.5",5.13334508598223,5.1991676734416,5.05704934452337,5.27553129475972,5.16316664309124,5.087128098259,4.82037893055,4.59072332715974,4.73210749613293,"AC132452.5"
"AC132455.1",5.34396695540261,5.39969429953076,5.76229181758943,4.97593095163481,5.05265330721615,5.2248131331063,7.04455975367656,6.50277218788338,7.1084870083603,"AC132455.1"
"AC132460.3",4.2982061523158,4.50284177895054,4.30570654161492,4.73164010522718,4.77976856806867,4.92589336506064,4.88806911319733,4.77365013334238,4.82218725230798,"AC132460.3"
"AC132481.2",4.44254217144345,4.50284177895054,4.8150177324411,4.34284185378424,4.47796538215946,4.44335055821301,4.6636280876042,4.4740014290903,4.73210749613293,"AC132481.2"
"AC132910.1",7.65520565911679,7.71836711738241,7.44558687540135,7.43707560821274,7.54734161309941,7.16550873747475,8.21051912723806,7.90148510790804,8.24239523411503,"AC132910.1"
"AC132957.1",4.44254217144345,4.50284177895054,4.30570654161492,4.34284185378424,3.94681959180372,4.44335055821301,4.45625851106335,4.68833319517471,4.34308198590873,"AC132957.1"
"AC133451.1",5.03478601889008,5.33695776364721,5.33222324248975,5.70023731005133,5.7829568259875,5.38365220440539,5.34041187099615,5.34343561579378,4.82218725230798,"AC133451.1"
"AC133451.2",4.9812832044218,5.16162396037959,4.65918668651895,6.35261300267403,6.27516770212425,6.06505815205749,4.95062787759862,4.68833319517471,4.97653352175322,"AC133451.2"
"AC133509.1",5.08534501197736,5.1991676734416,4.8150177324411,4.97593095163481,4.59553872099476,4.72626994137703,5.82700693488674,5.80023540633388,5.54960147743089,"AC133509.1"
"AC133523.1",4.44254217144345,4.58756062908026,4.30570654161492,4.73164010522718,3.94681959180372,4.44335055821301,3.94681959180372,4.4740014290903,3.94681959180372,"AC133523.1"
"AC133523.2",4.86331195426415,4.84581432645964,4.8150177324411,5.04383898986576,5.05265330721615,5.18100727838128,4.56916238365795,4.85018350304565,5.22317433573945,"AC133523.2"
"AC133523.4",5.38146722834674,5.5691828427632,5.61503236864361,5.89704101589638,5.55188353774864,5.48920536554771,5.38012710352215,5.04469038380761,5.50843180518919,"AC133523.4"
"AC133525.2",6.646406024874,6.51782502473413,6.66386989943439,5.89704101589638,5.7829568259875,6.10637253751662,6.64904506902105,6.87412858409391,6.53396377799911,"AC133525.2"
"AC133525.3",4.86331195426415,5.03945766442871,4.8150177324411,5.1664440179768,5.10949603477481,5.26681991231849,4.74623803316136,4.85018350304565,5.10776852115503,"AC133525.3"
"AC133601.1",6.20118393905133,6.31558374211655,6.54729273767128,6.35261300267403,6.39284827885278,6.18527919021493,6.19483839699367,6.06274774589844,6.01403103425302,"AC133601.1"
"AC133941.1",4.7250186872057,4.26915876137029,4.30570654161492,4.50514889364436,4.47796538215946,4.29878195671709,4.45625851106335,4.59072332715974,4.82218725230798,"AC133941.1"
"AC133968.1",4.2982061523158,4.50284177895054,3.94681959180372,4.34284185378424,4.47796538215946,4.72626994137703,4.45625851106335,4.4740014290903,4.62895390602379,"AC133968.1"
"AC134446.1",4.44254217144345,4.7284351313303,4.8823193403231,4.62854551761038,4.77976856806867,4.64563940813467,5.34041187099615,4.85018350304565,4.97653352175322,"AC134446.1"
"AC134468.1",4.92434262379694,4.99492132697532,5.15741732573034,5.04383898986576,5.10949603477481,5.13519563191127,4.6636280876042,4.68833319517471,4.90292144618743,"AC134468.1"
"AC134546.1",4.55248688125715,3.94681959180372,4.30570654161492,3.94681959180372,3.94681959180372,3.94681959180372,5.06378069934473,5.4660095438107,5.22317433573945,"AC134546.1"
"AC134555.1",4.2982061523158,4.26915876137029,3.94681959180372,4.50514889364436,3.94681959180372,3.94681959180372,4.45625851106335,4.59072332715974,4.34308198590873,"AC134555.1"
"AC134555.2",4.55248688125715,3.94681959180372,4.30570654161492,4.34284185378424,3.94681959180372,4.55346984993606,4.30797798885145,4.68833319517471,4.50548537441962,"AC134555.2"
"AC134563.1",6.08288996082531,5.96814669492028,5.98982087618668,6.01294934869578,6.42989345158149,6.16599256448277,6.34604980180118,6.33986127516558,6.53396377799911,"AC134563.1"
"AC134576.3",4.92434262379694,4.78939785464179,4.65918668651895,4.62854551761038,4.69384908674737,4.86477231022008,4.56916238365795,4.68833319517471,4.50548537441962,"AC134576.3"
"AC134591.1",4.92434262379694,4.84581432645964,4.94452400717006,4.34284185378424,3.94681959180372,4.29878195671709,5.11555484286124,5.04469038380761,5.22317433573945,"AC134591.1"
"AC135509.1",4.2982061523158,4.26915876137029,4.30570654161492,3.94681959180372,4.32345067233676,3.94681959180372,4.56916238365795,4.4740014290903,4.50548537441962,"AC135509.1"
