Gene,p7_1,p7_2,p7_3,p14_1,p14_2,p14_3,p60_1,p60_2,p60_3,
Dynll1,12.06501334,12.17199704,12.33013898,11.92834927,12.16867588,12.08302047,11.25651643,10.95110987,10.92529271,
Dynll2,13.70345014,13.72724138,13.423137,14.46496206,14.56499143,14.59171403,14.70247991,14.71002996,14.68858572,
Dynlrb2,6.133367376,5.644825187,6.436851104,5.700754594,5.542622103,6.012753116,6.864164304,5.95136738,6.429490412,
Dynlt1-ps1,5.8792114,6.450617534,6.353814425,5.700754594,6.193807202,5.676112896,5.374307659,4.779768568,5.346102975,
Dynlt1b,10.2694615,10.39619735,10.27613971,10.40356829,10.66181064,10.56836196,9.220100476,8.853700652,9.126542278,
Dynlt1f,7.523651889,7.487282827,7.283123757,6.442027845,6.715742437,6.562418739,5.507562716,5.476590446,5.489205366,
Dynlt3,10.48528814,10.48586838,9.88227396,11.63751108,11.54663017,11.37093187,12.21728715,12.08629473,12.32931591,
Dyrk2,11.33198845,11.38198896,11.08324937,10.74626262,10.73169085,10.31492003,8.922465812,9.006938491,9.124157714,
Dzank1,10.94593177,10.69965672,10.69319951,11.94324553,11.73541588,11.73964457,12.28239844,12.8239479,12.669163,
Dzip1,11.83000676,11.55419686,11.7988219,10.4639821,10.74474974,10.33755918,10.69045143,10.87032078,10.63268688,
E2f1,11.21008826,11.16301054,11.2297015,8.955564127,9.473239375,9.076132183,7.541108342,7.051276456,7.098287322,
E2f2,10.13505869,9.990873814,10.13454339,7.354140946,7.855334296,7.59722953,5.927022694,5.656414421,5.346102975,
E2f3,10.90631451,10.917996,10.71245465,10.67259685,10.68096005,10.52111158,9.508960542,9.660939431,9.561314061,
E2f7,9.772755904,9.828523196,9.812591847,7.635210802,7.590335646,7.248472651,5.956312051,5.95136738,5.95559848,
E2f8,9.680091957,9.745196471,9.735411599,6.960515198,7.383848379,6.606819007,4.975930952,4.693849087,4.798659241,
Ebf3,12.77834614,12.64457647,12.23629163,10.43935532,10.53599812,9.988288693,8.932868881,9.334553872,9.128922902,
