"","X","res_n_3.rownames","log_mean_counts","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","logpadj","significant","change","SYMBOL","annotation"
"20570",81296,81296,"1.876072171",75.17478083,0.169975457,0.484001734,0.351187702,0.725447536,0.841195678,0.075102968,"Not Sig","Unchanged","Tmod1","Promoter"
"20585",81341,81341,"1.765912466",58.33275203,0.163891053,0.552874423,0.2964345,0.766898282,0.868368041,0.061296169,"Not Sig","Unchanged","Coro2a","Promoter"
"20586",81342,81342,"1.860342626",72.50077121,2.12318883,0.461497869,4.600647098,4.21e-06,0.000135603,3.867730684,"Sig","Up","Coro2a","Promoter"
"20587",81345,81345,"1.770526938",58.95585449,0.166074582,0.691200887,0.240269631,0.810121237,0.894782257,0.048282636,"Not Sig","Unchanged","Coro2a","Promoter"
"20588",81346,81346,"2.378563572",239.0911893,-0.467336922,0.455851531,-1.025195462,0.305270969,0.495132543,0.305278528,"Not Sig","Unchanged","Coro2a","Promoter"
"20589",81352,81352,"3.098185217",1253.675725,2.361389753,0.504940707,4.676568395,2.92e-06,0.000101582,3.993183232,"Sig","Up","Coro2a","Promoter"
"20591",81367,81367,"2.56929304",370.9309229,0.177251756,0.463413233,0.382491789,0.702096618,0.825542178,0.083260733,"Not Sig","Unchanged","Gabbr2","Promoter"
"20592",81368,81368,"2.395775729",248.7572397,0.167410982,0.381550301,0.438765169,0.660831701,0.79774479,0.098136023,"Not Sig","Unchanged","Gabbr2","Promoter"
"20593",81374,81374,"1.842717622",69.61737148,-0.596415431,0.500129086,-1.192522986,0.233056243,0.415192435,0.381750568,"Not Sig","Unchanged","Gabbr2","Promoter"
"20594",81402,81402,"2.411230153",257.768683,1.29367002,0.329434785,3.926938137,8.6e-05,0.001350083,2.869639564,"Not Sig","Unchanged","Gabbr2","Promoter"
"20595",81422,81422,"2.547725823",352.96027,1.002699814,0.379871937,2.63957328,0.008301047,0.038716763,1.412100962,"Not Sig","Unchanged","Gabbr2","Promoter"
"20596",81423,81423,"2.087563903",122.3387118,1.164785891,0.586927289,1.984548876,0.047194685,0.137606456,0.86136119,"Not Sig","Unchanged","Gabbr2","Promoter"
"20597",81424,81424,"2.959489297",910.9390026,2.46318094,0.652914415,3.772593899,0.000161559,0.002161327,2.665279526,"Sig","Up","Gabbr2","Promoter"
"20608",81512,81512,"3.22278851",1670.277034,1.999837218,0.616964823,3.241412061,0.001189391,0.009363503,2.028561634,"Not Sig","Unchanged","Nr4a3","Promoter"
"20609",81513,81513,"2.89507436",785.3700951,1.884911481,0.605213905,3.114455013,0.001842851,0.012868991,1.890455489,"Not Sig","Unchanged","Nr4a3","Promoter"
"20610",81514,81514,"2.029617993",107.0577209,2.103430773,0.567784078,3.704631486,0.000211698,0.002638653,2.578617699,"Sig","Up","Nr4a3","Promoter"
"20611",81515,81515,"2.206072612",160.7209949,1.743450066,0.409101456,4.261656956,2.03e-05,0.000456409,3.340645421,"Not Sig","Unchanged","Nr4a3","Promoter"
"20612",81516,81516,"1.805305479",63.87125927,0.575632478,0.736622064,0.781448868,0.434538539,0.619557932,0.207918079,"Not Sig","Unchanged","Nr4a3","Promoter"
"20634",81616,81616,"2.046115763",111.2028103,-1.91227597,0.39422875,-4.85067608,1.23e-06,5.31e-05,4.274605308,"Not Sig","Unchanged","Abca1","Promoter"
"20635",81629,81629,"2.954207284",899.9270037,1.856061945,0.60784969,3.053488349,0.002261975,0.014979266,1.824509467,"Not Sig","Unchanged","Abca1","Promoter"
"20666",81839,81839,"1.876059947",75.17266507,-0.137860365,0.873311791,-0.157859274,0.874567691,0.932787141,0.03021745,"Not Sig","Unchanged","Epb41l4b","Promoter"
