"","X","res_n_3.rownames","log_mean_counts","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","logpadj","significant","change","SYMBOL","annotation"
"31405",122240,122240,"1.858790211",72.2420749,-1.68815568,0.505621608,-3.338772817,0.000841494,0.00729753,2.136824084,"Not Sig","Unchanged","Dscaml1","Promoter"
"31406",122241,122241,"2.36330882",230.8388066,-0.692226041,0.326373972,-2.120959701,0.033925194,0.108552618,0.964359697,"Not Sig","Unchanged","Dscaml1","Promoter"
"31407",122242,122242,"1.497962219",31.47474494,-0.10188499,0.650352068,-0.156661284,0.875511801,0.93324785,0.030003002,"Not Sig","Unchanged","Dscaml1","Promoter"
"31408",122243,122243,"1.336619855",21.70800212,-0.390657284,0.622878301,-0.627180756,0.530540756,0.700125701,0.154823979,"Not Sig","Unchanged","Dscaml1","Promoter"
"31409",122244,122244,"1.618737849",41.5659632,-0.386138248,0.600279531,-0.64326406,0.520052773,0.692060243,0.159856099,"Not Sig","Unchanged","Dscaml1","Promoter"
"31583",123035,123035,"2.456745928",286.250285,0.415103265,0.323723222,1.282278307,0.199745035,0.375202279,0.425734533,"Not Sig","Unchanged","Lingo1","Promoter"
"31584",123036,123036,"3.000864303",1001.992113,2.257654098,0.614664454,3.672986263,0.000239732,0.002889362,2.539198023,"Sig","Up","Lingo1","Promoter"
"31585",123037,123037,"2.677800145",476.2117912,1.672764752,0.429096018,3.898346019,9.69e-05,0.001476385,2.830800473,"Not Sig","Unchanged","Lingo1","Promoter"
"31586",123038,123038,"1.893919279",78.3284042,0.554426022,0.529159966,1.047747482,0.294754965,0.484219619,0.314957619,"Not Sig","Unchanged","Lingo1","Promoter"
"31587",123046,123046,"1.572813509",37.39499754,-1.449902524,0.602495018,-2.406497119,0.016106331,0.06305313,1.200293349,"Not Sig","Unchanged","Lingo1","Promoter"
"31588",123047,123047,"1.814364961",65.21762231,-1.488637939,0.528037305,-2.819190851,0.004814488,0.026001346,1.585004166,"Not Sig","Unchanged","Lingo1","Promoter"
"31589",123048,123048,"1.462609834",29.01414879,-0.785460613,0.507058929,-1.549051931,0.121369237,0.267432021,0.572786593,"Not Sig","Unchanged","Lingo1","Promoter"
"31590",123064,123064,"1.831131983",67.78474759,1.235243826,0.512870195,2.408492124,0.016018572,0.062800147,1.202039338,"Not Sig","Unchanged","Lingo1","Promoter"
"31591",123065,123065,"1.198960685",15.81104901,-0.447475733,0.721741119,-0.619994789,0.535261218,0.70388992,0.152495254,"Not Sig","Unchanged","Lingo1","Promoter"
"31592",123066,123066,"1.906352327",80.60320791,-0.514997167,0.441757246,-1.165792235,0.243698457,0.427723024,0.368837371,"Not Sig","Unchanged","Lingo1","Promoter"
"31593",123070,123070,"2.96209877",916.4288872,1.812883025,0.511049792,3.547370634,0.000389097,0.004145533,2.382419652,"Not Sig","Unchanged","Lingo1","Promoter"
"31594",123071,123071,"2.366731416",232.6651923,1.388201668,0.384101185,3.61415617,0.000301327,0.003428533,2.464891674,"Not Sig","Unchanged","Lingo1","Promoter"
"32076",125013,125013,"2.987007846",970.5275009,0.992481042,0.667382853,1.487123976,0.13698207,0.290559446,0.536765002,"Not Sig","Unchanged","Tpbg","Promoter"
