,X,res_2.rownames,log_mean_counts,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,logpadj,significant,change,SYMBOL,annotation
197,6096,peak6096,0.699230365,5.002998413,4.147954386,1.389161575,2.985940916,0.002827073,0.033291945,1.477660829,Sig,Up,B3gntl1,Promoter
198,6118,peak6118,0.721084477,5.261195954,3.736506341,1.295838743,2.883465526,0.003933257,0.040969931,1.387534764,Sig,Up,Ubxn2a,Promoter
206,6665,peak6665,1.059496635,11.46823636,2.675392071,0.918206409,2.91371531,0.003571555,0.038588668,1.413540216,Sig,Up,Arhgap5,Promoter
208,6695,peak6695,0.943214272,8.774336227,2.772025971,0.955592643,2.900844823,0.003721581,0.039545292,1.402905212,Sig,Up,Srp54a,Promoter
217,6976,peak6976,0.929855245,8.508543923,2.62676144,0.869587489,3.020698291,0.002521925,0.03082397,1.511111423,Sig,Up,Fntb,Promoter
227,7317,peak7317,1.123381463,13.28560888,2.014645446,0.653898395,3.08097628,0.002063231,0.027281623,1.564129794,Sig,Up,Glrx5,Promoter
232,7580,peak7580,0.934225143,8.594589586,3.19609223,0.989765883,3.229139623,0.001241633,0.019207024,1.716539932,Sig,Up,Cdc42bpb,Promoter
233,7603,peak7603,1.22043819,16.61262224,2.739772072,0.797430085,3.435752077,0.000590911,0.011438016,1.941649301,Sig,Up,Tdrd9,Promoter
235,7665,peak7665,0.934113965,8.592389692,2.481683553,0.833493108,2.977449397,0.002906576,0.033925688,1.469471332,Sig,Up,Cdca4,Promoter
236,7716,peak7716,0.873373297,7.470906433,2.833919166,0.950333511,2.982025922,0.002863478,0.033527478,1.474599108,Sig,Up,Sp4,Promoter
240,7814,peak7814,0.84392955,6.981191484,5.439328039,1.386947884,3.921796992,8.79E-05,0.002896121,2.538183276,Sig,Up,Dip2c,Promoter
244,7909,peak7909,1.204014507,15.9961146,2.387471619,0.591273672,4.037845305,5.39E-05,0.00202168,2.694287513,Sig,Up,H3c10,Promoter
245,7913,peak7913,1.136915265,13.7061432,2.235210862,0.657065807,3.401806698,0.00066942,0.012461382,1.904433803,Sig,Up,H3c11,Promoter
246,7914,peak7914,1.314636308,20.63651264,1.829046732,0.533619575,3.427623008,0.00060889,0.011698668,1.931863569,Sig,Up,H2bc23,Promoter
247,7917,peak7917,1.304910775,20.17951736,1.80196978,0.54531865,3.304434536,0.000951682,0.015847441,1.800040854,Sig,Up,H2bc23,Promoter
248,7952,peak7952,1.109884638,12.87907398,1.841459798,0.645585299,2.852388058,0.004339209,0.044052038,1.356033999,Sig,Up,H3c8,Promoter
249,7953,peak7953,1.027540489,10.65468193,2.232051282,0.714187536,3.125301368,0.00177623,0.024588965,1.609259745,Sig,Up,H3c7,Promoter
250,7954,peak7954,1.257312917,18.08476698,2.47166804,0.574440348,4.302741002,1.69E-05,0.000840949,3.075230458,Sig,Up,H3c6,Promoter
251,7955,peak7955,0.986517382,9.694320689,2.442439085,0.768874415,3.176642422,0.001489906,0.022000488,1.657567695,Sig,Up,H3c4,Promoter
252,7958,peak7958,0.97032583,9.339547392,2.789689651,0.846068254,3.297239482,0.000976402,0.016112447,1.792838487,Sig,Up,H3c3,Promoter
253,7960,peak7960,1.052109665,11.27482124,2.703242016,0.714650059,3.782609377,0.000155193,0.004404589,2.356094645,Sig,Up,H3c1,Promoter
254,7964,peak7964,1.463316121,29.06137248,1.426194872,0.457126086,3.11991574,0.001809028,0.024865938,1.604395148,Sig,Up,Scgn,Promoter
262,8218,peak8218,0.900211284,7.94714768,2.736476729,0.914891919,2.991038257,0.002780307,0.032908758,1.482688504,Sig,Up,Nup153,Promoter
266,8480,peak8480,0.972803193,9.392975574,2.342003712,0.820019036,2.856035787,0.004289668,0.043671639,1.359800509,Sig,Up,Hnrnpa0,Promoter
269,8740,peak8740,0.807503769,6.419537925,3.095520226,1.034979244,2.990900778,0.002781559,0.032911054,1.482658209,Sig,Up,Zfp738,Promoter
283,9274,peak9274,0.757352487,5.719426547,3.566302077,1.189039389,2.999313657,0.002705886,0.032273499,1.491153945,Sig,Up,Ipo11,Promoter
284,9325,peak9325,1.469768639,29.49637453,1.410034138,0.465037168,3.032089124,0.002428675,0.030138447,1.520879136,Sig,Up,Il31ra,Promoter
286,9390,peak9390,1.179032357,15.10192665,2.121491097,0.638476977,3.322737036,0.000891389,0.015159949,1.819302257,Sig,Up,3110070M22Rik,Promoter
287,9404,peak9404,1.124858541,13.33087147,1.874610944,0.648445756,2.890929467,0.003841043,0.040419313,1.393411075,Sig,Up,Hmgcs1,Promoter
291,10001,peak10001,0.853277975,7.133094455,3.69637585,1.071834531,3.448644117,0.000563409,0.011043095,1.956909192,Sig,Up,Rpp14,Promoter
292,10003,peak10003,0.900608976,7.95442838,4.238331311,1.112647608,3.809230595,0.0001394,0.004094592,2.387789317,Sig,Up,Pdhb,Promoter
293,10055,peak10055,0.925179761,8.417434797,2.485596464,0.872380164,2.849212497,0.00438276,0.044378296,1.352829382,Sig,Up,Nr1d2,Promoter
294,10089,peak10089,1.15112144,14.16189726,2.548210388,0.67207255,3.791570403,0.000149698,0.004315387,2.364980252,Sig,Up,Adk,Promoter
298,10309,peak10309,0.906032859,8.054393787,3.232374556,1.068155924,3.026126135,0.002477089,0.030503699,1.515647489,Sig,Up,Ghitm,Promoter
302,10521,peak10521,0.847748987,7.042858898,2.624548537,0.89936126,2.918236147,0.003520176,0.038179432,1.41817054,Sig,Up,Pnp,Promoter
303,10524,peak10524,0.754683697,5.684387776,3.268923285,1.125262665,2.905031319,0.003672164,0.039247915,1.406183411,Sig,Up,Rnase2a,Promoter
304,10545,peak10545,1.051006924,11.24622903,2.434714051,0.747410214,3.257533823,0.001123849,0.017872411,1.747816858,Sig,Up,Chd8,Promoter
307,10608,peak10608,0.902748687,7.993715491,2.796611451,0.98651231,2.834846987,0.004584764,0.045768185,1.339436305,Sig,Up,Cdh24,Promoter
312,10700,peak10700,0.885025854,7.67407173,4.776238249,1.250714329,3.818808292,0.000134098,0.003987811,2.399265468,Sig,Up,Mtmr6,Promoter
314,10715,peak10715,1.120123448,13.18631505,2.701226624,0.717419258,3.765199491,0.000166416,0.004605484,2.336724692,Sig,Up,Kpna3,Promoter
315,10724,peak10724,0.936359201,8.636926044,2.839431936,0.892548639,3.181262973,0.001466345,0.021730402,1.66293223,Sig,Up,Ints6,Promoter
317,10899,peak10899,0.981256964,9.577605922,2.415961288,0.860544889,2.807478516,0.004993101,0.048415025,1.315019838,Sig,Up,Ppp3cc,Promoter
318,10901,peak10901,1.472130797,29.65724449,1.262736617,0.417432266,3.025009615,0.002486252,0.030592311,1.514387716,Sig,Up,Phyhip,Promoter
319,10968,peak10968,1.057752487,11.42227171,3.340197928,0.871706975,3.831789838,0.000127214,0.003841381,2.415512592,Sig,Up,Tpt1,Promoter
326,11137,peak11137,0.736716169,5.454012999,3.588138105,1.254575893,2.860040693,0.004235867,0.043231952,1.364195151,Sig,Up,Cln5,Promoter
328,11268,peak11268,0.957956708,9.077300398,2.60393829,0.874471938,2.97772653,0.00290395,0.033907754,1.469700978,Sig,Up,Gpr180,Promoter
329,11346,peak11346,0.945378947,8.81817974,3.025382889,0.886930329,3.411071636,0.000647081,0.012216847,1.913040867,Sig,Up,Pcca,Promoter
330,11432,peak11432,0.740737549,5.504749351,3.669825065,1.25323641,2.928278363,0.003408447,0.037424344,1.426845809,Sig,Up,Lmbrd2,Promoter
338,11625,peak11625,1.100239346,12.59619416,2.201023708,0.719699584,3.058253412,0.002226312,0.028649109,1.542888884,Sig,Up,Zfp706,Promoter
339,11634,peak11634,1.963513797,91.94196828,1.020537619,0.268954498,3.794461985,0.000147964,0.004285495,2.367999043,Sig,Up,Gm16136,Promoter
340,11642,peak11642,0.789573874,6.159903005,3.798125856,1.199719761,3.165844209,0.001546336,0.022497813,1.647859699,Sig,Up,Azin1,Promoter
341,11648,peak11648,0.918279286,8.28474768,2.310799348,0.812446051,2.84424959,0.004451616,0.044812936,1.3485966,Sig,Up,Dcaf13,Promoter
342,11660,peak11660,0.990838228,9.791251986,2.308120988,0.769123343,3.000976384,0.002691154,0.03215945,1.492691393,Sig,Up,Oxr1,Promoter
346,11766,peak11766,0.978816625,9.523939425,2.516833992,0.859777117,2.927309813,0.003419081,0.037498875,1.425981762,Sig,Up,Derl1,Promoter
359,12001,peak12001,0.88492381,7.672268797,2.837615531,0.94215836,3.011824395,0.002596828,0.031455188,1.50230771,Sig,Up,Trappc9,Promoter
360,12004,peak12004,1.079824918,12.01779849,2.53170483,0.804701144,3.146142949,0.001654391,0.023530878,1.628361867,Sig,Up,Chrac1,Promoter
362,12133,peak12133,2.164518921,146.0558381,1.239006407,0.200930332,6.16634828,6.99E-10,1.63E-07,6.78662307,Sig,Up,Foxh1,Promoter
363,12135,peak12135,1.649326407,44.59913206,1.306013282,0.345490015,3.780176631,0.000156717,0.004426195,2.353969428,Sig,Up,Lrrc24,Promoter
364,12184,peak12184,0.881353555,7.609455036,2.457720654,0.879858436,2.793313735,0.005217107,0.049841313,1.302410524,Sig,Up,Eif3d,Promoter
365,12225,peak12225,1.716752114,52.08973095,1.37707396,0.324461857,4.244178267,2.19E-05,0.001027291,2.988306323,Sig,Up,Galr3,Promoter
366,12241,peak12241,0.908040495,8.091713449,2.922811688,0.959364648,3.046611832,0.002314364,0.02935995,1.532244691,Sig,Up,Pla2g6,Promoter
367,12274,peak12274,0.816017137,6.546620056,2.922881564,1.011382467,2.88998639,0.003852585,0.04047231,1.392842004,Sig,Up,Mief1,Promoter
